,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
5908,2020-02-22,Mexico,0,0,0,0,0,0,0,Americas
5954,2020-02-22,Spain,2,0,2,0,0,0,0,Europe
5990,2020-02-23,Argentina,0,0,0,0,0,0,0,Americas
6019,2020-02-23,Chile,2,0,0,2,2,0,0,Americas
6035,2020-02-23,Ecuador,0,0,0,0,0,0,0,Americas
6095,2020-02-23,Mexico,0,0,0,0,0,0,0,Americas
6141,2020-02-23,Spain,2,0,2,0,0,0,0,Europe
6177,2020-02-24,Argentina,0,0,0,0,0,0,0,Americas
6206,2020-02-24,Chile,2,0,0,2,0,0,0,Americas
6222,2020-02-24,Ecuador,0,0,0,0,0,0,0,Americas
6282,2020-02-24,Mexico,0,0,0,0,0,0,0,Americas
6328,2020-02-24,Spain,2,0,2,0,0,0,0,Europe
6364,2020-02-25,Argentina,0,0,0,0,0,0,0,Americas
6393,2020-02-25,Chile,2,0,0,2,0,0,0,Americas
6409,2020-02-25,Ecuador,0,0,0,0,0,0,0,Americas
6469,2020-02-25,Mexico,0,0,0,0,0,0,0,Americas
6515,2020-02-25,Spain,6,0,2,4,4,0,0,Europe
6551,2020-02-26,Argentina,0,0,0,0,0,0,0,Americas
6580,2020-02-26,Chile,2,0,0,2,0,0,0,Americas
6596,2020-02-26,Ecuador,0,0,0,0,0,0,0,Americas
6656,2020-02-26,Mexico,0,0,0,0,0,0,0,Americas
6702,2020-02-26,Spain,13,0,2,11,7,0,0,Europe
6738,2020-02-27,Argentina,0,0,0,0,0,0,0,Americas
6767,2020-02-27,Chile,2,0,0,2,0,0,0,Americas
6783,2020-02-27,Ecuador,0,0,0,0,0,0,0,Americas
6843,2020-02-27,Mexico,0,0,0,0,0,0,0,Americas
6889,2020-02-27,Spain,15,0,2,13,2,0,0,Europe
6925,2020-02-28,Argentina,0,0,0,0,0,0,0,Americas
6954,2020-02-28,Chile,2,0,0,2,0,0,0,Americas
6970,2020-02-28,Ecuador,0,0,0,0,0,0,0,Americas
7030,2020-02-28,Mexico,1,0,0,1,1,0,0,Americas
7076,2020-02-28,Spain,32,0,2,30,17,0,0,Europe
7112,2020-02-29,Argentina,0,0,0,0,0,0,0,Americas
7141,2020-02-29,Chile,2,0,0,2,0,0,0,Americas
7157,2020-02-29,Ecuador,0,0,0,0,0,0,0,Americas
7217,2020-02-29,Mexico,4,0,0,4,3,0,0,Americas
7263,2020-02-29,Spain,45,0,2,43,13,0,0,Europe
7299,2020-03-01,Argentina,0,0,0,0,0,0,0,Americas
7328,2020-03-01,Chile,9,0,0,9,7,0,0,Americas
7344,2020-03-01,Ecuador,6,0,0,6,6,0,0,Americas
7404,2020-03-01,Mexico,5,0,0,5,1,0,0,Americas
7450,2020-03-01,Spain,84,0,2,82,39,0,0,Europe
7486,2020-03-02,Argentina,0,0,0,0,0,0,0,Americas
7515,2020-03-02,Chile,9,0,0,9,0,0,0,Americas
7531,2020-03-02,Ecuador,6,0,0,6,0,0,0,Americas
7591,2020-03-02,Mexico,5,0,0,5,0,0,0,Americas
7637,2020-03-02,Spain,120,0,2,118,36,0,0,Europe
7673,2020-03-03,Argentina,1,0,0,1,1,0,0,Americas
7702,2020-03-03,Chile,10,0,0,10,1,0,0,Americas
